postcode;stedelijkheid;n;longitude;latitude
1011;1;279;4.9039565;52.3729762
1012;1;326;4.8940639;52.3733862
1013;1,04611;347;4.8766067;52.396789
1014;3,15789;19;4.8558842;52.39230449999999
1015;1;355;4.885109;52.3790928
1016;1;320;4.8837046;52.3711467
1017;1;366;4.8907747;52.3641851
1018;1;360;4.9180909;52.3683871
1019;1,13653;271;4.938827799999999;52.3728583
1021;1,20765;183;4.9209198;52.3842783
1022;1,47368;57;4.9298787;52.3879078
1023;1,45283;159;4.9496855;52.3870802
1024;1,63158;266;4.9558257;52.3934948
1025;1,42017;357;4.936959400000001;52.3996222
1026;5;17;4.9935529;52.3812323
1027;4,73913;23;4.9624584;52.41190150000001
1028;5;19;5.015357;52.40966940000001
1031;1,36364;165;4.9020632;52.3903988
1032;1,06215;177;4.9162053;52.395149
1033;2,07251;331;4.8850785;52.4071154
1034;1,76094;297;4.9180914;52.4057469
1035;2,03306;242;4.9067666;52.4168952
1036;2;10;4.9034688;52.4076888
1037;4,75;4;4.868079199999999;52.42383359999999
1041;5;5;4.8398143;52.4143153
1042;5;8;4.8247678;52.40425339999999
1043;3,18182;11;4.815402400000001;52.3886232
1045;5;2;4.7908055;52.4189802
1046;4,77778;9;4.7824601;52.3899603
1047;5;5;4.7494287;52.4099722
1051;1;271;4.8686235;52.3797728
1052;1;291;4.87475;52.3768523
1053;1;350;4.8695863;52.3663937
1054;1;353;4.8653587;52.3612327
1055;1;373;4.8540225;52.3817073
1056;1;333;4.854042;52.3723685
1057;1;330;4.853111699999999;52.3670713
1058;1;280;4.8503025;52.3605178
1059;1,08054;149;4.8461017;52.3460212
1060;1,21849;119;4.788287599999999;52.34704430000001
1061;1;188;4.837568000000001;52.3730438
1062;1,00629;159;4.8371533;52.3517216
1063;1,22449;294;4.825779;52.3815295
1064;1,08069;347;4.8192201;52.3724594
1065;1;249;4.8296176;52.3560303
1066;1,61056;303;4.817434;52.34319319999999
1067;1,59756;328;4.783460199999999;52.3765795
1068;1,00943;318;4.8042058;52.3624004
1069;1,0412;267;4.7901227;52.3576375
1071;1;384;4.882311400000001;52.3538654
1072;1;291;4.890314099999999;52.35220090000001
1073;1;281;4.896904;52.351928
1074;1;184;4.90679;52.351518
1075;1;280;4.860666999999999;52.3534239
1076;1,01186;253;4.860684;52.3440889
1077;1;376;4.8738549;52.3435465
1078;1;342;4.8922031;52.3441217
1079;1,00275;363;4.9067927;52.3421834
1081;1,57343;143;4.8522405;52.3337697
1082;1;275;4.8766928;52.3314299
1083;1,35028;177;4.890805299999999;52.3268472
1086;3,48485;33;4.981714;52.3617208
1087;2,51724;116;5.0005613;52.3555895
1091;1;333;4.9143228;52.3565396
1092;1;213;4.9213875;52.358913
1093;1;223;4.9284541;52.3612861
1094;1;279;4.9355226;52.3636588
1095;1,103;233;4.9567275;52.3614375
1096;1,92857;42;4.9190299;52.3363412
1097;1,05376;372;4.9340988;52.3463803
1098;1,02597;308;4.9482332;52.3511236
1101;3,15385;13;5.291265999999999;52.132633
1102;1,53962;265;4.9547795;52.3135175
1103;1,20561;214;4.9698582;52.3235484
1104;1,34104;173;4.980202300000001;52.31644739999999
1105;4;11;4.9575717;52.2920769
1106;1,73669;357;4.9740506;52.3007124
1107;1,80916;262;4.977324299999999;52.2912462
1108;2,15;100;5.291265999999999;52.132633
1109;4,89474;38;5.014092799999999;52.3110148
1111;1,93537;294;4.9793091;52.3391499
1112;1,61233;227;4.997185;52.3277285
1113;2,86076;79;4.9854493;52.3455586
1115;2,11034;145;4.937854199999999;52.330223
1119;5;4;4.7576139;52.2843124
1121;3,45489;266;4.926589799999999;52.4347613
1127;5;23;4.903914100000001;52.45707
1131;2,32323;297;5.0687497;52.5008954
1132;2,53409;264;5.0478618;52.49644199999999
1135;3,09545;220;5.0507737;52.5123579
1141;3,55482;301;5.0145702;52.46044500000001
1145;4,9;10;5.0373519;52.4755087
1151;5;79;5.000310300000001;52.4370085
1153;4,90909;11;5.0362418;52.4328131
1154;5;6;5.0617629;52.4263823
1156;5;68;5.107390199999999;52.4564734
1161;3,55392;204;4.7308068;52.3786981
1165;3,875;72;4.7297841;52.3920791
1171;2,75776;322;4.7761334;52.3342039
1175;4,6;25;4.7516617;52.3458558
1181;1,30214;374;4.861680799999999;52.3120541
1182;2,68939;132;4.8400512;52.3209392
1183;2,07692;260;4.8879974;52.3109682
1184;4,53333;15;4.8941157;52.2987208
1185;1,66894;293;4.851388399999999;52.2911562
1186;1,92;350;4.8739291;52.2875635
1187;2,8419;253;4.8176705;52.2685581
1188;2,1875;176;4.8570657;52.2669445
1189;5;12;4.8716177;52.2603518
1191;3,85268;224;4.9133832;52.28592889999999
1211;1;248;5.1774603;52.2240304
1212;2,07955;88;5.1943467;52.2166311
1213;2,31915;188;5.168736;52.1951262
1214;1,16667;186;5.168896;52.2137547
1215;1,46888;241;5.1571228;52.2129385
1216;2,46311;244;5.143533;52.2201883
1217;2,68148;270;5.1578439;52.2435328
1218;3,72477;109;5.1269788;52.2741839
1221;1;175;5.186441600000001;52.2276307
1222;2,17949;273;5.1824071;52.2504485
1223;1,59322;236;5.198227;52.2284437
1231;4,25373;201;5.0897784;52.1985586
1241;4,11299;177;5.0880569;52.2252558
1243;4,56818;44;5.1314775;52.2446819
1244;4,97561;41;5.0958397;52.2675381
1251;3,62849;358;5.2125964;52.2517832
1252;4;8;5.235175;52.2457888
1261;3,8125;320;5.2430073;52.2717532
1271;2,47899;238;5.2386032;52.30127
1272;3,6087;207;5.218577400000001;52.2834964
1273;1,83453;278;5.258446;52.3003881
1274;1,93401;197;5.2716775;52.2997981
1275;2;68;5.2616463;52.2909146
1276;1,78919;185;5.2498227;52.290108
1277;3,1129;62;5.2801443;52.2960871
1309;4,66667;3;5.143826;52.3827943
1311;2,24348;115;5.1758701;52.3667171
1312;2,28866;194;5.1920131;52.3726804
1313;2,9927;137;5.1992227;52.3843738
1314;2,04938;162;5.211979599999999;52.3811428
1315;2;106;5.2199218;52.37011649999999
1316;2,80892;157;5.2140692;52.40107190000001
1317;3,57639;144;5.2338726;52.3908526
1318;2,13333;210;5.2480427;52.3862199
1319;4,61905;63;5.185554499999999;52.3916477
1321;2,5812;234;5.182409799999999;52.35709139999999
1323;2;185;5.195736999999999;52.3658452
1324;2,07599;329;5.216515999999999;52.360927
1325;2,65714;210;5.237394399999999;52.3653403
1326;2,20513;234;5.251656000000001;52.3700447
1328;2,50216;231;5.265925300000001;52.3747475
1329;4;1;5.2800904;52.3701119
1331;5;13;5.2683756;52.4226973
1332;5;5;5.2464368;52.4129905
1333;2,4947;283;5.2633268;52.39621870000001
1334;2;45;5.2780076;52.3942291
1335;2,40226;266;5.291906399999999;52.4056228
1336;3,41221;131;5.318476899999999;52.4044301
1338;2,25;276;5.281214299999999;52.3847421
1339;2,36981;265;5.296517;52.3947359
1343;5;25;5.306264;52.3409213
1349;5;10;5.334567400000001;52.3316433
1351;3,28358;67;5.2211402;52.3500501
1352;2,74545;55;5.2116153;52.3438011
1353;2,55114;176;5.2101188;52.3358645
1354;2;113;5.2172366;52.3382178
1355;2,61628;86;5.2314778;52.34292319999999
1356;3,2716;81;5.2409094;52.33983749999999
1357;2,8843;121;5.2327849;52.3321953
1358;4,95238;21;5.2815502;52.3340259
1359;4,37778;45;5.1860498;52.3409248
1361;5;4;5.1453745;52.3373686
1363;5;36;5.1483313;52.3532452
1381;2,63087;149;5.0752974;52.30040349999999
1382;2,23864;264;5.034838199999999;52.3154645
1383;3,06107;131;5.0507624;52.2934588
1391;4,09251;227;4.9490723;52.2631244
1393;5;42;5.0281006;52.2784358
1394;4,87586;145;5.054367099999999;52.25866389999999
1396;5;42;4.9922568;52.2453247
1398;5;104;5.0811284;52.3321481
1399;5;101;5.1084093;52.3176382
1401;1,46667;165;5.1727538;52.27884969999999
1402;1,26596;282;5.1745708;52.2707753
1403;2,24088;274;5.176881499999999;52.2653446
1404;1,27007;137;5.162357999999999;52.2766397
1405;1,95;120;5.1524581;52.2770721
1406;2,0873;126;5.1513993;52.2624625
1411;3,79636;275;5.167712499999999;52.2963957
1412;2,62428;173;5.126130499999999;52.287546
1421;2,40972;144;4.8210356;52.240457
1422;2,38006;321;4.8299261;52.2440878
1423;3,34;150;4.8149669;52.2340482
1424;4,64407;118;4.785927099999999;52.2378914
1426;4,95238;21;4.8112895;52.212902
1427;3,64286;28;4.8388529;52.23373729999999
1428;5;4;4.7850891;52.213967
1431;3,75;292;4.735323000000001;52.2505822
1432;4,17677;198;4.7932523;52.28020739999999
1433;3,95918;196;4.7494346;52.2367024
1435;4,68033;122;4.6960232;52.2521515
1436;4,55556;18;4.7403584;52.2703546
1437;5;8;4.7304683;52.2800744
1438;5;9;4.7833671;52.28993329999999
1441;1,49708;342;4.9550027;52.50036679999999
1442;1,38418;177;4.9659138;52.5146124
1443;1;174;4.9715908;52.5090271
1444;2,30357;168;4.9654491;52.52131600000001
1445;1,70093;214;4.9881531;52.4989741
1446;2,47009;117;5.008102699999999;52.5168451
1447;2,10547;256;4.975815;52.4861298
1448;2,312;250;4.9341712;52.4958915
1451;5;10;4.9209227;52.4777366
1452;4,95833;48;4.958749099999999;52.46546980000001
1454;5;13;4.9634374;52.4358911
1456;4,975;40;4.883089099999999;52.48999269999999
1458;5;4;4.832258299999999;52.5384415
1461;3,63158;76;4.9171281;52.5313549
1462;4,83594;128;4.9209143;52.5525932
1463;5;18;4.9209065;52.59005149999999
1464;5;21;4.867840900000001;52.55478710000001
1471;4,9;20;4.9806343;52.531374
1472;5;20;5.0214387;52.5349987
1473;5;18;5.040471600000001;52.54756339999999
1474;5;91;4.989231;52.5604346
1475;5;16;4.971238899999999;52.5906259
1476;5;4;5.0130813;52.59956889999999
1477;5;4;4.990152;52.5470203
1481;5;4;5.022283799999999;52.50287669999999
1482;5;5;5.0004082;52.4744038
1483;4,36937;111;4.8441673;52.5530832
1484;4,5;22;4.8166609;52.5675798
1485;5;2;4.8448286;52.5711125
1486;5;20;4.799204700000001;52.5535767
1487;5;5;4.818153500000001;52.54745819999999
1488;5;9;4.7864609;52.5474064
1489;5;6;4.7628296;52.545685
1501;1,00552;181;4.8322084;52.4373198
1502;1,08718;195;4.827459699999999;52.4481955
1503;1,80412;194;4.8387858;52.4463974
1504;1,79085;153;4.8501344;52.435251
1505;1,74219;128;4.8482729;52.4246472
1506;1,4494;336;4.818048399999999;52.4419029
1507;2,51429;245;4.8039234;52.4371368
1508;2,39496;119;4.8208248;52.4578139
1509;3,66667;174;4.826445000000001;52.4709411
1511;3,49268;205;4.875590499999999;52.4475569
1521;2,53571;308;4.7876374;52.4965651
1525;4,94737;19;4.782821999999999;52.5168055
1531;2,6875;288;4.8301564;52.4921651
1534;5;18;4.8206353;52.5139351
1536;5;12;4.7931651;52.5284174
1541;2,26984;315;4.801010499999999;52.4586197
1544;2,95133;226;4.7914848;52.4803769
1546;5;18;4.860354099999999;52.5123108
1551;5;127;4.769925;52.4518646
1561;2,00897;223;4.7678077;52.49736559999999
1562;2,63556;225;4.756419699999999;52.508514
1566;3,94286;315;4.7396672;52.4691062
1567;3,13542;96;4.748037699999999;52.4888077
1601;2,82787;244;5.281116100000001;52.70044919999999
1602;2,83984;256;5.2746228;52.7195107
1606;4,9899;99;5.210901;52.668708
1607;5;40;5.1687692;52.6598341
1608;5;33;5.1552609;52.6416682
1609;5;4;5.1963522;52.64523089999999
1611;3,21759;216;5.2437398;52.6994274
1613;3,53591;181;5.219784799999999;52.6978035
1614;4,46;50;5.2035424;52.70119889999999
1616;4,06667;180;5.1747576;52.69173499999999
1617;5;43;5.142164;52.679751
1619;5;164;5.2229889;52.7325258
1621;2,24138;174;5.0655858;52.6388396
1622;3,36264;182;5.0317573;52.6376026
1623;2,5493;71;5.0732345;52.6438695
1624;2,04688;128;5.0570439;52.6472404
1625;2,15138;218;5.057083;52.6566152
1627;4,16667;6;5.099435800000001;52.6400661
1628;2,15823;316;5.089475;52.6498702
1631;5;11;4.9836145;52.6034893
1633;4,28169;71;4.9693748;52.6174735
1634;5;11;5.011709800000001;52.61970640000001
1636;5;36;4.8905161;52.6073695
1641;5;22;4.940864899999999;52.6454451
1642;5;1;4.9508603;52.65440299999999
1643;5;11;4.9370628;52.6616759
1645;5;76;4.9075913;52.6280815
1646;5;5;4.8762533;52.6213428
1647;4,95;60;4.9913066;52.6460097
1648;4,2;60;4.944662699999999;52.62921799999999
1652;5;10;4.9818225;52.6678405
1654;5;20;5.0429702;52.70813829999999
1655;5;22;5.002881599999999;52.7098366
1657;5;50;5.0172623;52.73336219999999
1658;5;6;5.014913099999999;52.7482137
1661;5;9;4.9771557;52.7350522
1662;5;6;4.988593499999999;52.72384479999999
1663;5;4;4.9988477;52.7200612
1671;3,53509;228;5.1063143;52.75906939999999
1674;5;49;5.075675599999999;52.75770139999999
1676;5;24;5.0488203;52.7400692
1678;5;25;5.0965564;52.72461699999999
1679;5;58;5.0678335;52.7151218
1681;5;9;5.1538239;52.70605219999999
1682;5;5;5.1102716;52.6985539
1683;5;7;5.1384079;52.7070565
1684;5;13;5.1107099;52.6918332
1685;4,22222;9;5.055960100000001;52.6734097
1686;4,6;5;5.0756817;52.6822817
1687;4,2807;114;5.012368599999999;52.6879911
1688;5;49;5.0629422;52.6885221
1689;2,88321;274;5.0657109;52.66696409999999
1691;5;15;5.1002922;52.7083673
1692;5;2;5.1242614;52.7194003
1693;4,30857;175;5.1539604;52.72481759999999
1695;2,67708;96;5.0847617;52.6607893
1696;4,77778;36;5.1286693;52.6615765
1697;4,95;20;5.124714;52.6403147
1701;3,42857;203;4.8618939;52.6728203
1702;2,51579;190;4.8486326;52.6546114
1703;2,00332;301;4.822960699999999;52.6610159
1704;3,91391;151;4.8599269;52.6996984
1705;2,38174;241;4.8201698;52.6450591
1711;5;40;4.8847556;52.65044959999999
1713;4,15108;139;4.9018481;52.6711749
1715;4,21951;82;4.9589823;52.6902363
1716;4,11667;60;4.9380218;52.70451310000001
1718;4,74194;93;4.9380239;52.72327989999999
1719;5;16;4.9523446;52.746819
1721;4,23529;119;4.8124467;52.6775172
1722;3,49367;158;4.7943409;52.6889687
1723;3,21898;137;4.796193199999999;52.6996133
1724;4,52273;88;4.784729899999999;52.7107974
1731;4,67532;77;4.917024899999999;52.7563354
1732;5;25;4.8788354;52.76864279999999
1733;4,78378;74;4.8998723;52.7355883
1734;5;13;4.886553999999999;52.7173684
1735;5;54;4.8617133;52.747886
1736;5;12;4.827384299999999;52.753311
1738;5;70;4.8179539;52.72821829999999
1741;3,00683;293;4.8157911;52.79268399999999
1742;3,63842;177;4.7987175;52.77191
1744;5;54;4.7550107;52.7522106
1746;5;46;5.291265999999999;52.132633
1747;4,90698;86;4.7617836;52.7331678
1749;4,30864;162;4.736186399999999;52.72078759999999
1751;5;59;4.75087;52.8060354
1752;5;19;4.7186884;52.7751192
1753;5;21;4.6938485;52.7868358
1754;5;24;4.7017186;52.7543344
1755;5;50;4.6664572;52.7637724
1756;5;61;4.7487923;52.832963
1757;5;23;4.806155299999999;52.8145467
1759;5;91;4.7181362;52.8502964
1761;4,24;200;4.8403902;52.8561196
1764;5;87;4.819217099999999;52.8892202
1766;5;62;4.8557727;52.828636
1767;5;31;4.8931155;52.7922049
1768;5;26;4.8558771;52.7910507
1769;5;8;4.8282842;52.7680278
1771;4,27389;157;5.0472762;52.8421333
1773;5;15;5.0794182;52.8421055
1774;5;57;4.970611;52.866859
1775;5;111;4.970535900000001;52.7916713
1777;4,38037;163;4.9783312;52.90953709999999
1778;5;31;4.9245901;52.892961
1779;5;82;5.0398879;52.9311418
1781;1,55932;295;4.776747299999999;52.9554564
1782;1,78498;293;4.753722499999999;52.9590689
1783;2,56322;87;4.728998499999999;52.93316369999999
1784;2,31429;245;4.7577762;52.92394969999999
1785;2,92373;236;4.7768535;52.9366276
1786;4,875;8;4.784591499999999;52.9228732
1787;4,48571;35;4.727298;52.9036625
1788;2,66538;260;4.741736;52.8896508
1791;4,21586;227;4.780037;53.0522133
1792;5;48;4.843563;53.0469512
1793;5;27;4.8125998;53.0832262
1794;5;64;4.874270399999999;53.0861057
1795;5;59;4.827811;53.13112539999999
1796;5;74;4.7586682;53.0853945
1797;5;50;4.7552065;53.02628190000001
1811;1;183;4.7490937;52.63052339999999
1812;3,94118;17;4.7539511;52.61025129999999
1813;1,90811;185;4.7557845;52.6208849
1814;1,3375;240;4.7406288;52.6201537
1815;1,26154;195;4.7353654;52.6283955
1816;2,1907;215;4.7178051;52.63311179999999
1817;2,37838;111;4.7338128;52.64853970000001
1821;1,48649;37;4.7652271;52.6271985
1822;3,15686;51;4.7802998;52.6466739
1823;1,5906;149;4.7651759;52.6365716
1824;1,87861;173;4.7547042;52.64368650000001
1825;2,01619;247;4.7503556;52.6572515
1826;1,74522;157;4.7636417;52.65671829999999
1827;2,06466;232;4.7640492;52.6687557
1829;3,43636;110;4.7761048;52.6321153
1831;3,43662;71;4.7573487;52.6784013
1832;5;9;4.760159499999999;52.6849868
1834;3,85135;148;4.7830679;52.6626324
1841;5;40;4.8240904;52.6100929
1842;4,88889;18;4.8411026;52.6308166
1843;5;22;4.8734684;52.58666059999999
1844;5;9;4.809959;52.5865807
1846;5;10;4.7768957;52.5691903
1847;5;6;4.7842644;52.6117078
1851;3,39024;287;4.7143007;52.59310199999999
1852;3,08225;231;4.689614499999999;52.6047859
1861;3,6;200;4.6853948;52.6584977
1862;3,61236;178;4.7288726;52.6782009
1865;5;27;4.643796399999999;52.6494225
1871;4,84211;152;4.666058;52.702125
1873;5;41;4.6734425;52.725957
1901;2,78237;363;4.6484317;52.5582535
1902;2,74892;231;4.6787877;52.5410135
1906;4,05696;158;4.7088553;52.5612156
1911;3,48621;290;4.729863;52.5282898
1921;4,34127;126;4.735328400000001;52.5601601
1931;4;144;4.6298312;52.6258727
1934;4,9898;98;4.6799743;52.6265801
1935;5;71;4.6480853;52.59571829999999
1941;1,38043;92;4.657134;52.48173269999999
1942;1,26316;57;4.6472432;52.4821215
1943;1,46875;128;4.6396708;52.4864259
1944;1,31868;182;4.6490303;52.4927381
1945;1,03125;160;4.6626715;52.4948735
1946;1,18947;95;4.6754187;52.4916987
1947;1,42105;76;4.6679233;52.4866509
1948;2,92857;56;4.6811921;52.4767764
1949;5;53;4.617041;52.4899825
1951;3,6063;127;4.588913199999999;52.4803904
1961;1,08824;34;4.671251;52.5112373
1962;1,83069;189;5.291265999999999;52.132633
1963;2,86508;126;4.685546;52.5220321
1964;1,82418;182;4.6573346;52.5124538
1965;1,31783;129;4.6607167;52.502967
1966;1,18584;113;4.6829176;52.4967463
1967;2,55769;52;4.6951459;52.5002702
1968;4,88889;9;4.6657307;52.5228147
1969;3,88571;35;4.6148846;52.5167888
1971;1,96296;216;4.627739;52.4548409
1972;1,17961;206;4.6102956;52.4595275
1973;1,4;130;4.602827;52.45447739999999
1974;2,45588;136;4.5789114;52.4500648
1975;2,55714;70;4.6031707;52.4664815
1976;3,37931;29;5.291265999999999;52.132633
1981;4,21429;70;4.6786445;52.4421579
1985;3,96341;82;4.445034;51.5469523
1991;2,24382;283;4.664574400000001;52.43737369999999
1992;2,8481;79;4.667234;52.4285923
2011;1;383;4.6359168;52.3851244
2012;1,34925;335;4.626684;52.3694813
2013;1;208;4.6241968;52.38424939999999
2014;1,66667;192;4.615857;52.3739053
2015;2,43056;144;4.6087539;52.3808509
2019;1;3;4.6419648;52.38113569999999
2021;1;200;4.6452444;52.3914281
2022;1,12155;181;4.6503149;52.4019018
2023;1,04851;268;4.6311222;52.3959841
2024;1,12832;226;4.639475099999999;52.4063303
2025;1,67143;210;4.6520997;52.4125062
2026;1,91538;130;4.6553076;52.4217216
2031;2,07813;64;4.663994199999999;52.3946923
2032;1,01449;207;4.6561595;52.3776599
2033;1,53465;303;4.6669893;52.3732317
2034;1,05682;264;4.6446058;52.3581107
2035;1,51948;154;4.6609438;52.366802
2036;1,43878;196;4.6493899;52.3472564
2037;1,1206;199;4.6643064;52.3573351
2041;2,79535;215;4.5599539;52.3854103
2042;2,53878;245;4.554488399999999;52.3722842
2051;2,68333;120;4.596502;52.386663
2061;3,09955;221;4.5971853;52.4106502
2063;5;24;4.674156099999999;52.41564
2064;5;70;4.7099119;52.4115525
2065;5;10;4.690822799999999;52.3869608
2071;2,55;200;4.6081788;52.43691399999999
2082;3,29;100;4.6355674;52.4224968
