zip_code;city;state;latitude;longitude
1000;Amsterdam;Noord-Holland;52.377;4.906
1001;Amsterdam;Noord-Holland;52.377;4.906
1002;Amsterdam;Noord-Holland;51.861;4.359
1003;Amsterdam;Noord-Holland;51.861;4.359
1005;Amsterdam;Noord-Holland;52.377;4.906
1006;Amsterdam;Noord-Holland;52.377;4.906
1007;Amsterdam;Noord-Holland;52.377;4.906
1008;Amsterdam;Noord-Holland;52.377;4.906
1009;Amsterdam;Noord-Holland;52.377;4.906
1011;Amsterdam;Noord-Holland;52.377;4.906
1012;Amsterdam;Noord-Holland;52.379;4.901
1013;Amsterdam;Noord-Holland;52.381;4.895
1014;Amsterdam;Noord-Holland;52.391;4.862
1015;Amsterdam;Noord-Holland;52.378;4.893
1016;Amsterdam;Noord-Holland;52.374;4.889
1017;Amsterdam;Noord-Holland;52.366;4.894
1018;Amsterdam;Noord-Holland;52.37;4.914
1019;Amsterdam;Noord-Holland;52.366;4.935
1020;Amsterdam;Noord-Holland;52.392;4.907
1021;Amsterdam;Noord-Holland;52.384;4.912
1022;Amsterdam;Noord-Holland;52.39;4.937
1023;Amsterdam;Noord-Holland;52.391;4.941
1024;Amsterdam;Noord-Holland;52.396;4.949
1025;Amsterdam;Noord-Holland;52.401;4.948
1026;Amsterdam;Noord-Holland;52.383;4.976
1027;Amsterdam;Noord-Holland;52.421;4.95
1028;Amsterdam;Noord-Holland;52.399;4.984
1030;Amsterdam;Noord-Holland;52.392;4.892
1031;Amsterdam;Noord-Holland;52.391;4.912
1032;Amsterdam;Noord-Holland;52.391;4.917
1033;Amsterdam;Noord-Holland;52.415;4.895
1034;Amsterdam;Noord-Holland;52.407;4.912
1035;Amsterdam;Noord-Holland;52.42;4.886
1036;Amsterdam;Noord-Holland;52.407;4.901
1037;Amsterdam;Noord-Holland;52.43;4.864
1040;Amsterdam;Noord-Holland;52.397;4.854
1041;Amsterdam;Noord-Holland;52.408;4.853
1042;Amsterdam;Noord-Holland;52.4;4.836
1043;Amsterdam;Noord-Holland;52.386;4.827
1044;Amsterdam;Noord-Holland;52.401;4.811
1045;Amsterdam;Noord-Holland;52.405;4.789
1046;Amsterdam;Noord-Holland;52.392;4.789
1047;Amsterdam;Noord-Holland;52.396;4.766
1051;Amsterdam;Noord-Holland;52.384;4.879
1052;Amsterdam;Noord-Holland;52.384;4.88
1053;Amsterdam;Noord-Holland;52.371;4.873
1054;Amsterdam;Noord-Holland;52.366;4.877
1055;Amsterdam;Noord-Holland;52.376;4.844
1056;Amsterdam;Noord-Holland;52.37;4.845
1057;Amsterdam;Noord-Holland;52.365;4.851
1058;Amsterdam;Noord-Holland;52.362;4.858
1059;Amsterdam;Noord-Holland;52.35;4.85
1060;Amsterdam;Noord-Holland;52.379;4.854
1061;Amsterdam;Noord-Holland;52.365;4.836
1062;Amsterdam;Noord-Holland;52.363;4.839
1063;Amsterdam;Noord-Holland;52.38;4.836
1064;Amsterdam;Noord-Holland;52.373;4.834
1065;Amsterdam;Noord-Holland;52.361;4.827
1066;Amsterdam;Noord-Holland;52.35;4.829
1067;Amsterdam;Noord-Holland;52.383;4.807
1068;Amsterdam;Noord-Holland;52.364;4.8
1069;Amsterdam;Noord-Holland;52.348;4.796
1070;Amsterdam;Noord-Holland;52.376;4.872
1071;Amsterdam;Noord-Holland;52.359;4.871
1072;Amsterdam;Noord-Holland;52.359;4.888
1073;Amsterdam;Noord-Holland;52.357;4.893
1074;Amsterdam;Noord-Holland;52.357;4.9
1075;Amsterdam;Noord-Holland;52.355;4.864
1076;Amsterdam;Noord-Holland;52.349;4.863
1077;Amsterdam;Noord-Holland;52.347;4.883
1078;Amsterdam;Noord-Holland;52.349;4.909
1079;Amsterdam;Noord-Holland;52.344;4.903
1080;Amsterdam;Noord-Holland;52.362;4.87
1081;Amsterdam;Noord-Holland;52.331;4.868
1082;Amsterdam;Noord-Holland;52.323;4.879
1083;Amsterdam;Noord-Holland;52.322;4.891
1086;Amsterdam;Noord-Holland;52.363;4.982
1087;Amsterdam;Noord-Holland;52.358;4.993
1090;Amsterdam;Noord-Holland;52.377;4.894
1091;Amsterdam;Noord-Holland;52.361;4.915
1092;Amsterdam;Noord-Holland;52.361;4.917
1093;Amsterdam;Noord-Holland;52.364;4.926
1094;Amsterdam;Noord-Holland;52.366;4.935
1095;Amsterdam;Noord-Holland;52.366;4.94
1096;Amsterdam;Noord-Holland;52.345;4.916
1097;Amsterdam;Noord-Holland;52.354;4.928
1098;Amsterdam;Noord-Holland;52.354;4.929
1099;Amsterdam-Duivendrecht;Noord-Holland;52.324;4.926
1101;Amsterdam Zuidoost;Noord-Holland;52.309;4.932
1102;Amsterdam Zuidoost;Noord-Holland;52.32;4.951
1103;Amsterdam Zuidoost;Noord-Holland;52.324;4.96
1104;Amsterdam Zuidoost;Noord-Holland;52.316;4.979
1105;Amsterdam Zuidoost;Noord-Holland;52.283;4.964
1106;Amsterdam Zuidoost;Noord-Holland;52.298;4.974
1107;Amsterdam Zuidoost;Noord-Holland;52.295;4.99
1108;Amsterdam Zuidoost;Noord-Holland;52.305;5.01
1109;Amsterdam Zuidoost;Noord-Holland;52.304;5.016
1110;Diemen;Noord-Holland;52.34;4.955
1111;Diemen;Noord-Holland;52.34;4.955
1112;Diemen;Noord-Holland;52.33;4.985
1113;Diemen;Noord-Holland;52.352;4.977
1114;Amsterdam-Duivendrecht;Noord-Holland;52.33;4.931
1115;Duivendrecht;Noord-Holland;52.337;4.946
1117;Schiphol;Noord-Holland;52.313;4.807
1118;Schiphol-Rijk;Noord-Holland;52.322;4.8
1119;Schiphol-Rijk;Noord-Holland;52.283;4.763
1120;Landsmeer;Noord-Holland;52.442;4.915
1121;Landsmeer;Noord-Holland;52.442;4.915
1127;Den Ilp;Noord-Holland;52.444;4.913
1130;Volendam;Noord-Holland;52.49;5.067
1131;Volendam;Noord-Holland;52.49;5.067
1132;Volendam;Noord-Holland;52.501;5.057
1135;Edam;Noord-Holland;52.51;5.045
1140;Monnickendam;Noord-Holland;52.459;5.034
1141;Monnickendam;Noord-Holland;52.459;5.034
1145;Katwoude;Noord-Holland;52.468;5.03
1150;Broek in Waterland;Noord-Holland;52.433;4.996
1151;Broek in Waterland;Noord-Holland;52.433;4.996
1153;Zuiderwoude;Noord-Holland;52.429;5.032
1154;Uitdam;Noord-Holland;52.421;5.072
1156;Marken;Noord-Holland;52.459;5.104
1161;Zwanenburg;Noord-Holland;52.385;4.732
1165;Halfweg;Noord-Holland;52.383;4.696
1170;Badhoevedorp;Noord-Holland;52.345;4.779
1171;Badhoevedorp;Noord-Holland;52.345;4.779
1175;Lijnden;Noord-Holland;52.335;4.734
1180;Amstelveen;Noord-Holland;52.321;4.864
1181;Amsterdam;Noord-Holland;52.321;4.864
1182;Amstelveen;Noord-Holland;52.32;4.853
1183;Amsterdam;Noord-Holland;52.319;4.872
1184;Amstelveen;Noord-Holland;52.299;4.898
1185;Amstelveen;Noord-Holland;52.302;4.85
1186;Amstelveen;Noord-Holland;52.29;4.868
1187;Amstelveen;Noord-Holland;52.292;4.839
1188;Amstelveen;Noord-Holland;52.282;4.857
1189;Amstelveen;Noord-Holland;52.261;4.876
1190;Ouderkerk aan de Amstel;Noord-Holland;52.31;4.907
1191;Ouderkerk aan de Amstel;Noord-Holland;52.31;4.907
1200;Hilversum;Noord-Holland;52.23;5.177
1201;Hilversum;Noord-Holland;52.23;5.177
1202;Hilversum;Noord-Holland;52.23;5.177
1211;Hilversum;Noord-Holland;52.23;5.177
1212;Hilversum;Noord-Holland;52.219;5.191
1213;Hilversum;Noord-Holland;52.22;5.182
1214;Hilversum;Noord-Holland;52.219;5.175
1215;Hilversum;Noord-Holland;52.219;5.166
1216;Hilversum;Noord-Holland;52.222;5.155
1217;Hilversum;Noord-Holland;52.228;5.168
1218;Hilversum;Noord-Holland;52.274;5.139
1221;Hilversum;Noord-Holland;52.228;5.181
1222;Hilversum;Noord-Holland;52.253;5.172
1223;Hilversum;Noord-Holland;52.237;5.196
1230;Loosdrecht;Noord-Holland;52.205;5.131
1231;Loosdrecht;Noord-Holland;52.205;5.131
1240;Kortenhoef;Noord-Holland;52.242;5.119
1241;Kortenhoef;Noord-Holland;52.242;5.119
1243;'s-Graveland;Noord-Holland;52.269;5.12
1244;Ankeveen;Noord-Holland;52.276;5.105
1250;Laren;Noord-Holland;52.189;6.37
1251;Blaricum;Noord-Holland;52.272;5.225
1252;Laren;Noord-Holland;52.245;5.233
1260;Blaricum;Noord-Holland;52.273;5.231
1261;Blaricum;Noord-Holland;52.277;5.212
1270;Huizen;Noord-Holland;52.307;5.238
1271;Huizen;Noord-Holland;52.307;5.238
1272;Huizen;Noord-Holland;52.3;5.225
1273;Huizen;Noord-Holland;52.299;5.247
1274;Huizen;Noord-Holland;52.304;5.269
1275;Huizen;Noord-Holland;52.29;5.267
1276;Huizen;Noord-Holland;52.294;5.248
1277;Huizen;Noord-Holland;52.294;5.273
1300;Almere;Flevoland;52.416;5.22
1301;Almere;Flevoland;52.416;5.22
1302;Almere;Flevoland;52.416;5.22
1303;Almere;Flevoland;52.416;5.22
1305;Almere;Flevoland;52.416;5.22
1309;Almere;Flevoland;52.416;5.22
1311;Almere;Flevoland;52.367;5.173
1312;Almere;Flevoland;52.375;5.212
1313;Almere;Flevoland;52.385;5.203
1314;Almere;Flevoland;52.386;5.214
1315;Almere;Flevoland;52.368;5.217
1316;Almere;Flevoland;52.386;5.218
1317;Almere;Flevoland;52.385;5.232
1318;Almere;Flevoland;52.379;5.239
1319;Almere;Flevoland;52.385;5.182
1320;Almere;Flevoland;52.368;5.216
1321;Almere;Flevoland;52.36;5.192
1322;Almere;Flevoland;52.351;5.193
1323;Almere;Flevoland;52.367;5.2
1324;Almere;Flevoland;52.373;5.213
1325;Almere;Flevoland;52.373;5.226
1326;Almere;Flevoland;52.375;5.236
1327;Almere;Flevoland;52.357;5.254
1328;Almere;Flevoland;52.376;5.254
1329;Almere;Flevoland;52.375;5.275
1331;Almere;Flevoland;52.415;5.272
1332;Almere;Flevoland;52.403;5.256
1333;Almere;Flevoland;52.399;5.27
1334;Almere;Flevoland;52.395;5.274
1335;Almere;Flevoland;52.402;5.293
1336;Almere;Flevoland;52.402;5.31
1338;Almere;Flevoland;52.391;5.275
1339;Almere;Flevoland;52.395;5.29
1341;Almere;Flevoland;52.347;5.288
1343;Almere;Flevoland;52.342;5.296
1349;Almere;Flevoland;52.347;5.324
1351;Almere;Flevoland;52.351;5.22
