postcode;n;longitude;latitude
1011;279;4.9039565;52.3729762
1012;331;4.8940639;52.3733862
1013;353;4.8766067;52.396789
1014;20;4.8558842;52.39230449999999
1015;355;4.885109;52.3790928
1016;320;4.8837046;52.3711467
1017;367;4.8907747;52.3641851
1018;364;4.9180909;52.3683871
1019;273;4.938827799999999;52.3728583
1021;184;4.9209198;52.3842783
1022;57;4.9298787;52.3879078
1023;161;4.9496855;52.3870802
1024;295;4.9558257;52.3934948
1025;358;4.936959400000001;52.3996222
1026;17;4.9935529;52.3812323
1027;24;4.9624584;52.41190150000001
1028;19;5.015357;52.40966940000001
1031;165;4.9020632;52.3903988
1032;179;4.9162053;52.395149
1033;332;4.8850785;52.4071154
1034;301;4.9180914;52.4057469
1035;243;4.9067666;52.4168952
1036;10;4.9034688;52.4076888
1037;4;4.868079199999999;52.42383359999999
1041;5;4.8398143;52.4143153
1042;8;4.8247678;52.40425339999999
1043;14;4.815402400000001;52.3886232
1045;2;4.7908055;52.4189802
1046;11;4.7824601;52.3899603
1047;6;4.7494287;52.4099722
1051;272;4.8686235;52.3797728
1052;291;4.87475;52.3768523
1053;350;4.8695863;52.3663937
1054;353;4.8653587;52.3612327
1055;374;4.8540225;52.3817073
1056;334;4.854042;52.3723685
1057;331;4.853111699999999;52.3670713
1058;281;4.8503025;52.3605178
1059;149;4.8461017;52.3460212
1060;119;4.788287599999999;52.34704430000001
1061;199;4.837568000000001;52.3730438
1062;163;4.8371533;52.3517216
1063;298;4.825779;52.3815295
1064;354;4.8192201;52.3724594
1065;253;4.8296176;52.3560303
1066;303;4.817434;52.34319319999999
1067;344;4.783460199999999;52.3765795
1068;319;4.8042058;52.3624004
1069;303;4.7901227;52.3576375
1071;385;4.882311400000001;52.3538654
1072;291;4.890314099999999;52.35220090000001
1073;281;4.896904;52.351928
1074;185;4.90679;52.351518
1075;281;4.860666999999999;52.3534239
1076;258;4.860684;52.3440889
1077;379;4.8738549;52.3435465
1078;342;4.8922031;52.3441217
1079;367;4.9067927;52.3421834
1081;145;4.8522405;52.3337697
1082;276;4.8766928;52.3314299
1083;178;4.890805299999999;52.3268472
1086;35;4.981714;52.3617208
1087;116;5.0005613;52.3555895
1091;334;4.9143228;52.3565396
1092;213;4.9213875;52.358913
1093;225;4.9284541;52.3612861
1094;284;4.9355226;52.3636588
1095;234;4.9567275;52.3614375
1096;44;4.9190299;52.3363412
1097;373;4.9340988;52.3463803
1098;309;4.9482332;52.3511236
1099;7;4.9227935;52.3295182
1101;13;4.940659699999999;52.3087775
1102;266;4.9547795;52.3135175
1103;216;4.9698582;52.3235484
1104;180;4.980202300000001;52.31644739999999
1105;11;4.9575717;52.2920769
1106;357;4.9740506;52.3007124
1107;262;4.977324299999999;52.2912462
1108;100;4.9933607;52.3065615
1109;38;5.014092799999999;52.3110148
1111;298;4.9793091;52.3391499
1112;233;4.997185;52.3277285
1113;79;4.9854493;52.3455586
1115;145;4.937854199999999;52.330223
1119;4;4.7576139;52.2843124
1121;267;4.926589799999999;52.4347613
1127;23;4.903914100000001;52.45707
1131;300;5.0687497;52.5008954
1132;264;5.0478618;52.49644199999999
1135;221;5.0507737;52.5123579
1141;302;5.0145702;52.46044500000001
